,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
f3018cab-9735-463e-bd00-07f959b2b8e6,0.013292229887600255,0.01851494457542717,-0.02473317430675765,-0.03765924694104438,-0.008047985200919353,-0.012911100075304667,0.012497870411934715,0.019385460050145385,-1,AvgDist,1,cosine,0,1715625426.551992,8
398381e7-7cde-4490-a724-d92b37ed15ed,0.019352597001433897,0.027499222931734707,-0.02065668732126715,-0.03173138574007541,-0.0025844786804711316,-0.004948907143622692,0.0076556262516315355,0.012251505854845848,-1,AvgDist,1,cosine,0,1715625426.551992,9
e50ec2e7-94b4-4691-9765-aeb8fe931dde,0.02516379939959597,0.03577101175099788,-0.018114533445943347,-0.028026429905189172,0.0012333634843520575,0.000627836478300967,0.004073287817576309,0.007068005866934507,-1,ens-AvgDist,1,cosine,0,1715625426.551992,
1c2fc1b8-c9a8-47c3-9f71-4277af26893f,-0.11688884174194708,-0.17565597072435635,-0.14341845618746482,-0.21469505890139143,-0.13450508530409014,-0.20150419021769153,0.13618941392222808,0.20394114442214148,-1,AvgDist,100,cosine,0,1715625426.551992,0
8c77500d-a89e-40f6-920e-472285454096,-0.10899517586686372,-0.1644854428642563,-0.14035379502903522,-0.21057629288060717,-0.12937181658743202,-0.194374215446489,0.13176789655484078,0.19781907266509258,-1,AvgDist,100,cosine,0,1715625426.551992,1
cde2ab52-042c-458d-b09f-6ccaad630199,-0.1026948818115673,-0.15470345941060393,-0.13294262888657837,-0.19929679550554474,-0.12212146680125653,-0.18324082096500488,0.12451346628824518,0.18667242431544445,-1,AvgDist,100,cosine,0,1715625426.551992,2
4a9181e9-f143-479e-ac51-b25ba529361f,-0.10971241428103669,-0.1645606765499741,-0.13578278543510278,-0.20308229351100787,-0.1272182085366793,-0.1902727605967148,0.12884885194345513,0.19263970227053331,-1,AvgDist,100,cosine,0,1715625426.551992,3
6de88feb-1431-4c34-bd04-4108c20ee27a,-0.12226163183812827,-0.183821223535793,-0.1438005088109852,-0.21510988757200544,-0.13802617160265832,-0.20666658562568582,0.13885529468908278,0.20776492997073848,-1,AvgDist,100,cosine,0,1715625426.551992,4
b95b4e15-ef92-47b9-b627-0ecc404dc6cb,-0.12045760141963063,-0.18100514643511068,-0.14525520295092018,-0.21725508499437204,-0.13754307218781872,-0.2058991451010215,0.13879063710649403,0.20761791491027626,-1,AvgDist,100,cosine,0,1715625426.551992,5
128fc721-6ec7-4708-b841-d467368a8427,-0.10910384347680925,-0.16447395286915403,-0.13832400761640304,-0.2074042902715095,-0.1283795333588803,-0.19277460410126426,0.13046782243838298,0.19577532134138848,-1,AvgDist,100,cosine,0,1715625426.551992,6
bb9aa565-06a2-4375-8572-2ca08b432669,-0.10886870428942241,-0.16388897089475638,-0.13595781617529112,-0.20398728933905233,-0.12655415566423225,-0.1900369317014911,0.12825184570486675,0.19251635700240435,-1,AvgDist,100,cosine,0,1715625426.551992,7
4cd258b7-bdbc-4618-a5da-a5259fb63701,-0.12230486883261434,-0.1836830636910964,-0.14654461497774493,-0.21898420740303942,-0.13925664655315315,-0.20837012616507794,0.14059078016663457,0.21017781425923615,-1,AvgDist,100,cosine,0,1715625426.551992,8
998d5980-852e-477e-92ec-a54e9c5c525c,-0.11412913916362044,-0.17197161618958218,-0.14292470391382908,-0.21408728578900263,-0.13313512413349432,-0.19972684886504963,0.13517588867932476,0.20261389831811932,-1,AvgDist,100,cosine,0,1715625426.551992,9
284d6702-4127-4b92-9ca0-48c1bd8ff46d,-0.11672539471729804,-0.17568075361482136,-0.14465295133266634,-0.21662160881991366,-0.13543850958427678,-0.20300712229964263,0.1372270887820266,0.20556030026731995,-1,ens-AvgDist,100,cosine,0,1715625426.551992,
