,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
2cc6d9ac-483a-4301-bf33-159628680ddf,0.16291426950773896,0.23694675845500957,0.15603137972320455,0.22725574181716154,0.1621641039040328,0.2361479729556712,-0.15974558217877008,-0.23276356922480923,-1,NC,1,cosine,2,1715626828.327703,
96964144-b240-4dd1-9a11-80d2e07b7948,0.3096905414417659,0.4484113693094946,0.2551080410084225,0.3735654003801368,0.2847482062105493,0.4150640967996217,-0.274161547121174,-0.4005790113625971,-1,NC,100,cosine,2,1715626828.327703,
145d0952-88c0-4387-90bf-db8df83c8891,0.06840814560313054,0.10209744399311849,0.05475205903854801,0.08219347335766079,0.06012515672443344,0.09008651501075696,-0.05857212131217974,-0.08782994010414383,-1,AvgDist,1,cosine,2,1715626828.327703,0
ad3ea1f0-c10a-43bc-95ee-2c0db0d84bfc,0.045337357816143876,0.06781524581598346,0.04737260152368656,0.0711310358332309,0.045552819381691964,0.06843274502617512,-0.04654187837660677,-0.06993133864720152,-1,AvgDist,1,cosine,2,1715626828.327703,1
a97317f9-9735-4c13-8a7d-98f2b831e96e,0.12071970524969286,0.17904738876238244,0.09184537464045549,0.13676053675011846,0.10712866465061843,0.1592923602021802,-0.10238506976933485,-0.15244563904148709,-1,AvgDist,1,cosine,2,1715626828.327703,2
12065f60-468c-4a65-91cf-95b637da3f23,0.06870875774665057,0.10285668697165257,0.060123138326146554,0.09025930856930087,0.06385247163241052,0.095794913952823,-0.06280508678918771,-0.0943077166539064,-1,AvgDist,1,cosine,2,1715626828.327703,3
eac1edfa-18f0-40d2-850e-fdb9fcecb5bb,0.07276034403804182,0.10859471124353072,0.06532239942540664,0.09808122123004889,0.06749621704628866,0.10107090067804433,-0.0668192692770475,-0.10020939398740085,-1,AvgDist,1,cosine,2,1715626828.327703,4
6c605e58-2bd5-49c9-8e67-8417a5a17843,0.11265736150818201,0.16786059748165613,0.09474700796537813,0.14136564159359377,0.10394288884088905,0.15498357834234508,-0.10117029119296057,-0.15094962773183618,-1,AvgDist,1,cosine,2,1715626828.327703,5
d0da3156-4672-4979-96bb-d0ea093e3323,0.04775725954653546,0.07132641129097594,0.04567565121917405,0.06857177016336341,0.045332896916323424,0.0679394256510248,-0.04527105072675677,-0.06792988086292913,-1,AvgDist,1,cosine,2,1715626828.327703,6
dbceeda9-d324-4aa1-924f-95c57ef65fbd,0.050536978751573126,0.0754869286331339,0.04618942356129857,0.06943626709844576,0.0476279675595528,0.07142549736239776,-0.047718456617507496,-0.07157559447390321,-1,AvgDist,1,cosine,2,1715626828.327703,7
1f0c85dd-17a8-4cef-a492-f1ca96fbfb10,0.025421283907880673,0.03833170894812205,0.0193322745807173,0.029732081313945186,0.020818503307626003,0.03175722588623916,-0.020374058832067336,-0.03114189888607297,-1,AvgDist,1,cosine,2,1715626828.327703,8
9990516d-81c4-419b-b7ad-897170eeb230,0.05310021373838882,0.07913445150700633,0.04680842411900161,0.06990571094852513,0.04929499294994452,0.07360071567555276,-0.048560279427162296,-0.07257785248930265,-1,AvgDist,1,cosine,2,1715626828.327703,9
b315b59b-947d-4aae-a92a-6792e33eecb2,0.07620380419060928,0.11368056596851087,0.06416203941204318,0.09600912107553133,0.06922902636408773,0.10346852932023731,-0.067835446936466,-0.10145979690811986,-1,ens-AvgDist,1,cosine,2,1715626828.327703,
4cb20eb1-9847-4a5c-8f8f-a8ba35c5bb48,-0.13296827544310355,-0.19984405722883403,-0.13963734328355712,-0.20864242643518727,-0.14060504018872522,-0.21040439476288092,0.13962546209377477,0.2087953652007231,-1,AvgDist,100,cosine,2,1715626828.327703,0
0e532635-d315-4270-a5b0-9778aa7ae382,-0.17280995654855116,-0.2578749790737124,-0.16058981343442685,-0.23927265722918692,-0.17085164054070193,-0.25459209976479497,0.16674154916165582,0.24854959602220678,-1,AvgDist,100,cosine,2,1715626828.327703,1
e4f6efe3-cc4f-4d87-9fcd-35b15aadd7c6,-0.07378236340110558,-0.11060374573636012,-0.09597818453692665,-0.14351313914814517,-0.08719666577034367,-0.13056023058034408,0.08927855410490931,0.133510529807909,-1,AvgDist,100,cosine,2,1715626828.327703,2
e20dc94c-c460-4657-9b46-06e3feda0266,-0.15981883786567064,-0.23852765281643237,-0.15685850153600406,-0.23387061383372226,-0.1625291091638276,-0.24229741838424312,0.1601103470457396,0.238753638708699,-1,AvgDist,100,cosine,2,1715626828.327703,3
