,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
8339f1d4-6152-4203-a5f1-7fd6f5dc3c8a,0.15881578767080817,0.23129684184401686,0.1470008687057394,0.21462548385620642,0.15429777754148086,0.2250630350645051,-0.15090162475238983,-0.22026011332679718,-1,NC,1,cosine,4,1715627303.976295,
64574982-a5fc-4080-a489-712d382e970e,0.31362689523459925,0.45389555532840226,0.2613647869332848,0.3824928867495188,0.29015598720496,0.4226373161594448,-0.2800264138424408,-0.40873436840424854,-1,NC,100,cosine,4,1715627303.976295,
4d15f87a-02b5-4fc1-a981-672e2a1805ba,0.06473859903899187,0.09682474606057123,0.05264982919490587,0.07911899442708879,0.05724976955693731,0.08593013241336364,-0.05601940642219478,-0.08413709416539022,-1,AvgDist,1,cosine,4,1715627303.976295,0
a29013ac-f307-4c65-9cbe-64b5ced3349a,0.03897906258374601,0.05862736705838426,0.03867271191191675,0.058250535284602376,0.03811641621559163,0.05744748447054296,-0.03865455009355549,-0.05826577561475533,-1,AvgDist,1,cosine,4,1715627303.976295,1
76ff6606-c477-4d21-88cd-a26afd489bda,0.11202081104276926,0.16624513975644126,0.08607973485986484,0.12795761861264715,0.09993648164308293,0.14836539758321474,-0.09554680232397665,-0.14204933770990255,-1,AvgDist,1,cosine,4,1715627303.976295,2
b59cef47-f8d5-49f4-aa04-8bb731bb3191,0.05512595700577718,0.08271874894917275,0.04860762465107512,0.07309323463268659,0.050969060983623284,0.07663615532420082,-0.050410525085350585,-0.07584886658230902,-1,AvgDist,1,cosine,4,1715627303.976295,3
53ccd952-3afc-429d-92dc-eb5cc1f153ff,0.055425226956713876,0.0832655837046542,0.049892513242725374,0.07542121788002229,0.05035807983663009,0.07600808775590508,-0.05002420642257881,-0.07559349867174922,-1,AvgDist,1,cosine,4,1715627303.976295,4
7c7d0e2d-6cd7-4706-a295-7685a9584ae4,0.0962342101574105,0.1438322001673425,0.07678710408550586,0.11527327037115344,0.08640206625477016,0.1295049131177687,-0.08334904073850674,-0.12506452289927159,-1,AvgDist,1,cosine,4,1715627303.976295,5
02e81b8c-4e72-4e18-89be-166398d0f923,0.031231105296707057,0.047048789883475925,0.031021844355964716,0.047040007803387913,0.029728394920479705,0.0449198384881417,-0.030315933715486923,-0.045836621949328776,-1,AvgDist,1,cosine,4,1715627303.976295,6
d0fa1e05-b581-4a59-a523-8441be65c06b,0.04217302067590928,0.06363442055587143,0.038817004805841,0.058943786618852516,0.039043907514264065,0.05923414240776304,-0.039037346857673544,-0.05919293843335001,-1,AvgDist,1,cosine,4,1715627303.976295,7
