,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
1261b798-a896-4d25-be9e-77a46d13041b,0.17169644209338458,0.24972089475175469,0.16385669547451645,0.23883200523569492,0.16974522450348833,0.24714785651417126,-0.16723088091364643,-0.24367738150329288,-1,NC,1,cosine,3,1715627220.461244,
a7d2990c-f1b6-466d-99f3-b07795c9ca90,0.3115713295958128,0.4505414202948207,0.26063175360063023,0.38088048093337534,0.28845509704790867,0.4196789801418259,-0.27839681081695417,-0.4059812033966838,-1,NC,100,cosine,3,1715627220.461244,
0b8841a0-b090-4e69-94b1-1c096ed438dd,0.07852580121796013,0.11705960011645895,0.06504797195247232,0.09749513040616863,0.07052340009758394,0.10537573224123471,-0.06907213481141615,-0.10335560897896681,-1,AvgDist,1,cosine,3,1715627220.461244,0
5f53bd34-3edd-4fa7-8c5d-94e09bc11c3c,0.04924370978778698,0.07361454795057475,0.0500875542650576,0.07535268436201346,0.048499875322518655,0.07289851474739079,-0.04928019344016542,-0.07410889877353456,-1,AvgDist,1,cosine,3,1715627220.461244,1
c5f1be5d-2fb2-4aff-9281-a8733b545a8e,0.1297263191182278,0.19246955187758252,0.09922862782421382,0.1475814779060285,0.11499076482602084,0.17084817741704447,-0.1098881743118399,-0.16338233391427406,-1,AvgDist,1,cosine,3,1715627220.461244,2
b931808b-3839-4b42-953e-b12f7c437ea4,0.07659346394200205,0.11442035118026309,0.06906455059893295,0.10341580583801953,0.07223190752466693,0.10811476573509372,-0.07119508378008305,-0.10664184941433805,-1,AvgDist,1,cosine,3,1715627220.461244,3
4850e2f4-6751-4d6d-9594-44f3923f9e2b,0.07745355310066551,0.11579296096540341,0.07271103837494147,0.10907206935199287,0.07352784013679783,0.1101273871145777,-0.07300162746290917,-0.10944391811372249,-1,AvgDist,1,cosine,3,1715627220.461244,4
8fc4b2de-dbcc-4eda-8c7c-7d0b76522898,0.11911060058890703,0.17775055300177153,0.09936374432353198,0.14864966771006427,0.10937074582424218,0.163357242401493,-0.10619634813052098,-0.15880685361187988,-1,AvgDist,1,cosine,3,1715627220.461244,5
a6df1a83-8191-4bce-8b1d-7440590449c2,0.06063166801733523,0.09045484147271933,0.05773381800050554,0.08652766862135335,0.05752491709370278,0.08606293629469486,-0.05725088966903813,-0.08566367377869266,-1,AvgDist,1,cosine,3,1715627220.461244,6
e69a4146-4079-4021-bc9d-1ed626e37456,0.05884882900231829,0.08810096731885979,0.05696808079584526,0.08551497802094558,0.05676774074781666,0.08522084010199803,-0.05707537153242928,-0.08561922250799021,-1,AvgDist,1,cosine,3,1715627220.461244,7
3a3cecc8-3e56-467a-ad62-48d9bdccddb9,0.03699576216591996,0.05570085313217825,0.03280154245035302,0.04975038861054864,0.033322674600047245,0.05039105239296873,-0.03322110443592092,-0.0503476497965338,-1,AvgDist,1,cosine,3,1715627220.461244,8
1d9288ac-5e8e-44b2-a1fb-7f62a1210d6f,0.059246671184252406,0.08842008932311875,0.051921457857146205,0.07771394890170404,0.054599445950534245,0.08165849172927964,-0.053594545349935116,-0.08025661677721464,-1,AvgDist,1,cosine,3,1715627220.461244,9
c6f71114-1600-4ddf-bd9d-19139419a614,0.08604215540102066,0.12838047048481155,0.07395306492039078,0.11077161118403621,0.07883903415249,0.11789056914750344,-0.07733820387435425,-0.11576880443820305,-1,ens-AvgDist,1,cosine,3,1715627220.461244,
9c45df7b-8f98-4796-abd8-585dc0bc3ae7,-0.13535359701627814,-0.20363761417815077,-0.14104180674736483,-0.2109250879933753,-0.14242834562309864,-0.21334589887369956,0.14132639525174945,0.21155205717767506,-1,AvgDist,100,cosine,3,1715627220.461244,0
38e66e24-078a-4d3b-afd3-a9fac1ea8a88,-0.1712289583064371,-0.2561128670040437,-0.1587567099591,-0.23700311562043025,-0.16914206942972942,-0.2525884999327049,0.1650054954000348,0.24647161378737087,-1,AvgDist,100,cosine,3,1715627220.461244,1
53d27e26-cd01-4303-8add-4b9743daa333,-0.07480700668522913,-0.1123528248042247,-0.09503527112993476,-0.14243818972180042,-0.0871709640700842,-0.1308162614313022,0.08898698581754069,0.13340254730322712,-1,AvgDist,100,cosine,3,1715627220.461244,2
65edb28c-f3fb-41cf-a6bb-4d91a6eef4bb,-0.16105481124989596,-0.24070525571460644,-0.1573209172630742,-0.23483087338358064,-0.16330239636802138,-0.2437757891654591,0.16083302903618943,0.24013944993092118,-1,AvgDist,100,cosine,3,1715627220.461244,3
3de999a4-9a6a-4f93-9a53-8420ae898d90,-0.14352043070072665,-0.2155611213460181,-0.1394337815045426,-0.20795418229165205,-0.1465353725868577,-0.21908809134942536,0.14392991170205932,0.2149918218103029,-1,AvgDist,100,cosine,3,1715627220.461244,4
8dacb6e9-567b-47b1-be72-4bae08e4d2ce,-0.12234968965092825,-0.18400932095271758,-0.1333109470920233,-0.1995812968489979,-0.13119913565746247,-0.19670570920813849,0.13111588732263918,0.19646484854772125,-1,AvgDist,100,cosine,3,1715627220.461244,5
18ee603e-25cf-4ccc-bc43-d03baaad36d5,-0.13414664673787216,-0.2003157101745656,-0.12628786015192275,-0.1877249271523178,-0.13429450153665898,-0.19994407655483923,0.13131012283019425,0.19540214874329734,-1,AvgDist,100,cosine,3,1715627220.461244,6
f493f9af-9c29-45f9-8ad3-e49e2be2e16f,-0.1547968120649516,-0.230879691118338,-0.14702259402120976,-0.21858885085313462,-0.1550962820359063,-0.23077732313731186,0.15166585871914073,0.22569983447441513,-1,AvgDist,100,cosine,3,1715627220.461244,7
ab1e0062-1265-451c-915f-a9c435abfeb4,-0.14363171609846448,-0.21343820110014483,-0.13987045963430497,-0.2069095264006818,-0.14584609773592255,-0.21615918390142813,0.14330472336976224,0.2123999515677343,-1,AvgDist,100,cosine,3,1715627220.461244,8
24851e0b-5bd8-48d8-b0ba-dc4e7b21a68a,-0.1718846308080835,-0.257979679317858,-0.16838380026992172,-0.25219214003975693,-0.17426614926952708,-0.26118006482398665,0.17193515586715769,0.25758916631993767,-1,AvgDist,100,cosine,3,1715627220.461244,9
0b3afdad-9586-4e00-80a5-7a297808ab45,-0.15317485280276583,-0.22929670927384602,-0.1523734525826038,-0.22727210263153919,-0.15712188790097917,-0.23462451261128386,0.15492566805937302,0.23129547201389358,-1,ens-AvgDist,100,cosine,3,1715627220.461244,
1bc54ee4-1a2f-4972-bebe-82e39ec9704f,-0.18913491197319254,-0.28246000861686504,-0.17103416817358574,-0.2550151607856972,-0.18468441927119678,-0.27524122945900753,0.18012737060675427,0.2684492105276012,-1,FV,,cosine,3,1715627220.461244,
acee0885-c582-4abc-8b83-9917e8472ec6,0.16587520101246425,0.24128101915438557,0.15856536123204582,0.23101323352697012,0.1643860130246295,0.2393076686289125,-0.1620794409519137,-0.23610504394737525,-1,NC,1,euclidean,3,1715627251.432352,
641c3d28-9bc1-4e15-8ca2-f8a0025ec58b,0.28657646910996976,0.41610237438201697,0.24154484414620842,0.35437539623600645,0.2657385444839902,0.38825292691118823,-0.25673500376977715,-0.37594223221993367,-1,NC,100,euclidean,3,1715627251.432352,
72aa8442-a99a-4773-84ab-595267e48af2,0.032581462707675715,0.05103248464446822,0.06381723065747837,0.09671809799324314,0.04965425237683327,0.07598940982908566,-0.05503011071528731,-0.08374534492897076,-1,AvgDist,1,euclidean,3,1715627251.432352,0
cb5dbc71-e966-4d49-bc0c-cab4e70bddc0,-0.03917934302761751,-0.05805590605882324,-0.0002448045122758152,0.00024256701843513033,-0.019386881208415477,-0.028563258424746555,0.012713653018076752,0.018675921943487578,-1,AvgDist,1,euclidean,3,1715627251.432352,1
ca0709e8-c4f1-4fa2-b528-571fc34d8f1c,0.016880690094692338,0.026558184890537948,0.037497394239111345,0.05714549781951222,0.02749375267451786,0.04229319728845453,-0.031101553887575326,-0.04756637422537614,-1,AvgDist,1,euclidean,3,1715627251.432352,2
b229c8b7-4f3b-42c5-9920-76f7e18717fd,-0.049073592266585975,-0.07493156678556362,-0.020282670295296595,-0.031351072130451255,-0.03463238670190893,-0.05302222964181297,0.02928593152174538,0.04511251637047854,-1,AvgDist,1,euclidean,3,1715627251.432352,3
